A simple and efficient search algorithm for block-matching motion estimation,Sentiment_Score0,year,M-PSK and M-QAM BER computation using signal-space concepts,Sentiment_Score1,year.1,Companding transform for reduction in peak-to-average power ratio of OFDM signals,Sentiment_Score2,year.2,A planar monopole antenna design with band-notched characteristic,Sentiment_Score3,year.3,Bit-interleaved time-frequency coded modulation for OFDM systems over time-varying channels,Sentiment_Score4,year.4,Robust video transmission over correlated mobile fading channels,Sentiment_Score5,year.5,A time-frequency decision-feedback loop for carrier frequency offset tracking in OFDM systems,Sentiment_Score6,year.6,Nonpilot-aided carrier frequency tracking for uplink OFDMA systems,Sentiment_Score7,year.7,A receive space diversity architecture for OFDM systems using orthogonal designs,Sentiment_Score8,year.8,Carrier Frequency Offset Estimation Using Extended Kalman Filter in Uplink OFDMA Systems,Sentiment_Score9,year.9
"the search operation is conducted over a fixed subset of the total search window. The Three Step Search (TSS) [2], the New Three Step Search (NTSS) [2], the Simple and Efficient TSS (SES) [3], the Four Step Search (4SS) [4] and the Diamond Search (DS) [5], all represent some of its well-known examples",0.21053458452224733,2014,"In [15], it is shown by using signal-space concepts, that decoding of each bit of the bitmapping Gray code of an M-PSK symbol can be performed by using independent binary hard decisions",0.17209127843379973,2013,"Later, the importance of taking into account the statistics of the companded signals is realized in [6].",0.15792586803436282,2014,Two identical antennas are placed in the face-to-face orientation with a distance of 0.3 m [24].,0.16158773005008698,2014,"The binary information of all subchannels is first multiplexed, then encoded by a single high-rate FEC encoder [24,25], and subsequently demultiplexed toward the different subchannels.",0.13596383929252626,2014,,0.0,2014,"In [18], [19] a non-data aided, loop based CFO correction scheme is considered. Their CFO estimator is based on a phase detector (slicer), which can only handle very small CFO.",0.1477289140224457,2014,"Only a few results are available in the literature considering specifically a high mobility scenario. Blind algorithms for the tracking stage are proposed in [15,16]",0.12776380181312563,2014,"Ref.[10] proposed a space diversity reception structure based on single-input multi-output orthogonal frequency division multiplexing (OFDM) system, which lowered the system complexity and power consumption",0.13316470086574556,2014,,0.0,2014
"Using a fixed pattern, which means that the search operation is conducted on a fixed subset of the total search window, and some famous examples include, the three step search (TSS) (Jong et al., 1994), the new three step search (NTSS) (Renxiang Li et al., 1994), the simple and efficient TSS (SES) (Jianhua Lu and Liou, 1997), ",0.2165821224451065,2013,The conditional BER of M-ary phase shift keying (MPSK) constellation can be written as [13],0.1706926107406616,2012,"To reduce the PAPR, various techniques have been proposed, including probabilistic techniques [2]- [5], coding [6], companding [7], [8], and
clipping/filtering techniques [9]- [11]",0.2383508965373039,2013,"Some techniques depend on use of optimization [3], which requires an expensive computation, or introducing a resonator that introduce the notch [4–10], or substrate integrated waveguide cavity [11], parasitic open-circuit slot [12], and several others",0.12708387672901156,2013,"Huang et al. [8] and Liu and Fitz [9] have reported that, in simulations, the performance of BICM-OFDM systems is improved when the channel is fast fading",0.1960409998893738,2013,,0.0,2013,,0.0,2013,,0.0,2013,,0.0,2013," In [5],Zhao et al. use an extended Kalman filter (EKF) to estimate the CFO. ",0.18813065290451048,2013
NTSS [12] improves on TSS results by providing a center biased searching scheme and having provisions for half way stop to reduce computational cost,0.1428902715444565,2012,In [14] tight BER approximation for MPSK in AWGN channel is obtained by a simple geometric approach the is based on signal-space concepts as,0.1501805454492569,2011,"various techniques have been proposed to reduce the PAPR including clipping and Filtering [5]–[8], Partial Transmit Sequence (PTS) [9]-[16], Selected Mapping (SLM) [17]-[24], coding schemes [25]–[31], nonlinear companding transforms [32]–[37] and other techniques such as Tone Reservation (TR) and Tone Injection (TI) [38], [39]. ",0.2436268851161003,2012,"Several universities, including Tsinghua University, SEU, Xidian University, SCUT, and UESTC are very active in the wideband, dual band and ultrawideband (UWB) antenna research [49]–[55]",0.17195299863815305,2012,"This is in line with the fact that faster channel variation yields greater time diversity, as various researchers have observed [16]–[18]",0.11225590407848357,2012,,0.0,2012,[1] has proposed a time-frequency decision-feedback loop without the use of pilot subcarriers. ,0.14069336354732515,2012,,0.0,2012,"Because the combined effect of the scattered signals cannot easily be expressed in closed form, more tractable statistical
descriptions for the resulting fading coefficients have been derived based on the nature of signal propagation in the wireless environment [14]",0.16034491956233976,2012,,0.0,2012
"The other famous BMA techniques such as three step search, simple and efficient three step search [5], new three step search [6], four step search [7], diamond search [8] and adaptive rood pattern search [9] have lowercomputational cost compared to the full search with slight picture quality different.",0.16308449506759642,2011,"Oneand two-dimensional (1-D and 2-D) constellations have been studied in greater depth [30]–[34], and exact analytical expressions for SER and BER of arbitrary PAM and QAM [18] as well as efficient numerical techniques for arbitrary 2-D constellations [19] are available",0.22736215591430664,2010,"Different types of linear companding transforms, the linear symmetrical transform (LST) and the linear asymmetrical transform (LAST) have been extensively used in the literature to reduce the PAPR of OFDM signals [4], [5].",0.2484907701611519,2011,,0.0,2011,"It is well known that the ICI can be neglected when the maximum normalized Doppler frequency is low, under this condition, one-tape equalizer can be used to detect signal at receiver ",0.15378875434398653,2011,,0.0,2011,,0.0,2011,,0.0,2011,,0.0,2011,We adopt the AR model [36]–[38] to characterize the timevarying frequency offset and channel responses,0.13594293594360352,2011
"Experimental results demonstrate that the proposed algorithm (P.A) have a comparable PSNR as the ES algorithm and achieves consistent improvement in PSNR over the TSS algorithm which has been widely accepted as one of the best ME for low bit rate real time video applications [12,13].",0.17488709986209872,2010,"For perfect PSK, an analytic formula for the SER is available [24],
[28], [29], and this is shown for 16-PSK by the solid line",0.16115697026252745,2009,"Digital clipping has some drawbacks; e.g. distorting the signal and ruining the signal spectrum [9]. In [9], a general companding transform with four special cases is presented.",0.11263664066791534,2010,"Some researches obtain band-rejection characteristics by cutting a slot [6]-[7] or adding a tuning metal stub
within the antenna structure [8]-[9].",0.18785473704338074,2010,"The basic system architecture uses BICM with interleaving across time and frequency [10], the theoretical results have so far been absent.",0.1361019551753998,2010,,0.0,2010,"There are some proposals of decision-directed methods ([14], [15]) for OFDM systems different than DVB-T",0.16896734833717347,2010,The scheme presented in [19] employs two decision-feedback loops operating in either the time or frequency dimension. ,0.1331057518720627,2010,A relative low-complexity combining method based on Orthogonal Design (OD) is first proposed by Slimane [6] for two receive antenna case and it was generalized by D.Huang [7] for M antenna case. ,0.18052547574043276,2010," In [10], parallel EKFs are proposed to perform CFO estimation for uplink OFDMA systems as well as multiple access interference (MAI) cancellation",0.1950335830450058,2010
" In this thesis, we used a simple and efficient search (SES) algorithm [36] and an exhaustive search (ES) [37] for block matching.",0.1817669063806534,2009,"In Fig. 2, a 16QAM system with NR=NT=4 and Gray
mapping [32] is considered.",0.14766702651977537,2009,Recent research work has shown that the application of companding to general OFDM systems can significantly improve PAPR with an additional improved BER performance [e.g. 4-6].,0.22018558681011202,2009,But most of the proposed antennas have only one band-notched characteristic at 5.5 GHz [2–5].,0.11103313565254214,2009,Huang et al. [17] proposed a reduced complexity ML equalizer which works for relative low normalized Doppler frequency by considering only the main tap. ,0.15465734899044037,2009,,0.0,2009,,0.0,2009,"A number of studies have addressed the ICI cancellation issue in the OFDMA uplink. In early studies, the main concerns are on the frequency synchronization recovery [4]–​[8], where users' CFOs are estimated at the receiver and sent back to transmitters for carrier frequency adjustment.",0.11758082211017606,2009,"Recently, pre-fast Fourier transform (pre-FFT) combining has been introduced for STBC-OFDM systems [4], [5], in which the number of inverse FFT (IFFT)/FFT blocks can be significantly reduced.",0.26754679828882216,2009,CFO estimation for the uplink channel of OFDMA systems has received extensive research where many estimation schemes have been proposed [1]–​[8].,0.2127449095249176,2009
Motion estimation is computationally expensive and resource hungry operation in video compression because it consumes a large amount of computational resources ,0.12083826661109925,2008,"An approximate expression of BER for M-QAM is given in [6], which can be expressed by",0.18332653045654296,2008,"Use of a compressor for the purpose of PAPR reduction of OFDM signals can be found in, for example, [9] and [10].",0.21411663591861724,2008,Over the past few years several monopole antennas have been proposed for various UWB applications[1]-[6],0.18903174996376038,2008,"The case of time-varying channels is addressed in [1]–[9], of CFO in [10]–[15] and of SFO in [16], [17]",0.11478378772735598,2008,,0.0,2008,"According to the studies [5]-[8], the estimation schemes of the residual CFO can be classified to the pilot-aided [5]-[6] and nonpilot-aided [7]-[8] approaches",0.1509843409061432,2008,Presented in [2] is a tracking scheme which compensates for CFOs by using a decision-feedback recovery loop.,0.150860121846199,2008,,0.0,2008,CFO estimation for uplink channels has received extensive research where many estimation schemes have been proposed [1]–​[7].,0.2095984756946564,2008
"There are many fast searching algorithms which reduce the number of candidates in the search range usually with some degradation in coding efficiency. Well-known examples are 2-D logarithmic search (LOGS) [1], three-step search (TSS) [9], four-step search (4SS) [10], block-based gradient descent search (BBGDS) [11], and simple and efficient search (SES) ",0.20865043997764587,2007,And in [9] tight BER approximation for M-PSK in AWGN channel is obtained by a simple geometric approach that is based on signal-space concepts as,0.16397274136543272,2007,"So far, there are several effective means proposed, such as: clipping [1],[2], companding transform [3],[4], coding [5], selected mapping (SLM) [6], partial transmit sequences(PTS) [7],[8], constellation shaping [9], tone reservation and injection [10], etc. ",0.225300070643425,2007,The antenna geometry in [6] is a circular notched ring with an attached element inside the hole. It possesses band notched characteristics. ,0.14730353057384493,2007,Huang et al. [13] proposed a reduced complexity ML equalizer which works for relative low normalized Doppler frequency by considering only the main tap,0.14237566590309142,2007," Several strategies for such diversity reception have been developed, including frequency diversity, time diversity, and diversity techniques based on multiple antennas; an example of the latter class applied to video is [1]",0.1806629478931427,2007,"The remaining two of the four CFO tracking techniques compared in this paper are based on decision directed schemes: the Decision Directed Time-Frequency Loop (DD-TFL) proposed in [9] for the 802.11 standard,based on two feedback loops in the time and the frequency domain respectively",0.15155590772628785,2007,"As for frequency synchronization, there are many researches for uplink OFDMA
systems [9]–[11], but most of them can only be applied to OFDM systems with interleaved- or block-type subcarrier allocation.",0.13251106739044188,2007,"In order to utilize the diversities in frequency and space, different forms of space-frequency coded OFDM, such as space-frequency block coded OFDM (SFBC-OFDM) have also been proposed and evaluated, in terms of performance, using numerical analysis of the systems under consideration [11]–​[20].",0.2103764683008194,2007,,0.0,2007
"This paper implements and evaluates the fundamental block matching algorithms. The algorithms that have been implemented are Exhaustive Search (ES), Three Step Search (TSS), New Three step Search (NTSS), Simple and Efficient TSS (SES), Four Step Search (4SS), diamond Search(DS)",0.23132258057594302,2006,"where M is the constellations size, [M/4] represents the smallest integer that is no smaller than M/4 and the maximum number of summation terms in (21) is 2 because it is suggested in [7] that the summation of the first 2 terms already provides very accurate approximation.",0.12729201614856722,2006,We can use the complementary cumulative distribution function (CCDF) to express the PAPR performance,0.15972648859024047,2006,,0.0,2006,,0.0,2006,"This first order Markov model has widely been used to capture the memory of the burst error flat fading channel for packet/block level communication (c.f. [1], [14]–[17]) and has a good balance between the accuracy and the complexity",0.1749152809381485,2006,"In [9], a low-complexity blind time-frequency tracking algorithm has been proposed, but the tracking range is limited to 10% of one subcarrier spacing.",0.13108833730220792,2006," A decision-feedback tracking loop is employed for nonpilot-aided synchronization in [2], which performs well but is only suitable for the case where the offset is small.",0.14541585445404054,2006,,0.0,2006,,0.0,2006
"One of these properties is that the block motion field of real-world video sequences usually varies slowly and, therefore, motion vectors have a center-biased distribution instead of a uniform distribution. Recent examples are the new three-step search (N3SS) [14], the four-step search (4SS) [15], the simple and efficient search (SES) [16], the block-based gradient descent search (BBGDS) [17]",0.2207164466381073,2005,Other methods reported in the literature are either specific constellation [mostly rectangular-quadratic-amplitude modulation (QAM) and M-phase-shift keying (PSK)] targeted or specific bit-mapping (usually Gray mapping) oriented [8]–[13].,0.16383405327796935,2005,"Compared to the companding technique, with a fixed form of function, described in [7], the major advantages of the present scheme include adaptive power management updated by the signal power fluctuation, implementation simplicity and linear power adjustment.",0.17008962631225588,2005,,0.0,2005,,0.0,2005,Another Markov -state channel approximation is developed in [6] which works only for extremely slow fading rates.,0.14730883240699766,2005,,0.0,2005,"Then aiming at the three significant subcarrier allocation schemes: block allocation, interleaved allocation and hybrid allocation[6][7], a new frequency offset estimation independent of the time delay estimation is proposed. ",0.18394003808498383,2005,"In [1], a general receive space diversity architecture for OFDM systems with one transmit antenna and multiplereceive antennas is proposed, where orthogonal designs [2] are used to reduce the number of DFT blocks,",0.19301708638668058,2005,,0.0,2005
The SES algorithm mainly speeds up the coarse search by making use of some individual distortions to determine a search quadrant in each step of the three steps based on the globally unimodal error surface assumption,0.1163920909166336,2004,"For higher order modulations, accurate bounds to the bit-error probability can be found by the direct derivations in [11]",0.161080002784729,2004,"Due to properly commuting the product of the generalized circulant matrix and signal matrix, this method may also combine other techniques, e.g. [1] [4], to improve the overall performance of OFDM systems with relatively low computational complexity.",0.20373025238513948,2004,,0.0,2004,,0.0,2004, The strategy adopted by many researchers to design FSC models for fading channels consists of representing each state of a first-order Markov chain by a nonoverlapping interval of the received instantaneous signal-to-noise ratio (SNR)[6]–[16],0.17815459370613096,2004,,0.0,2004,,0.0,2004,"Recently, some schemes [4]–​[7] have been proposed to reduce the number of DFT blocks required. In [6], and later extended by [7] using the principle of orthogonal designs [8], the number of DFT blocks is reduced to a half with 3 dB performance degradation. ",0.18645112514495848,2004,,0.0,2004
"This approach relies both on the SES [3] and FSS [4] algorithms, choosing between them according to a particular metric.",0.13361151814460753,2003,"In addition, textbooks often use approximations to obtain expressions for the BER as a function of , see [4, p.202] and [5].",0.16890092492103576,2003,,0.0,2003,,0.0,2003,,0.0,2003,"This technique was used in [13] for selection combining (SC) and Rayleigh fading, and was slightly discussed in [9] for an approximation to equal-gain combining (EGC) in Nakagami fading.",0.16839396953582764,2003,,0.0,2003,,0.0,2003,,0.0,2003,,0.0,2003
"The FTSS algorithm (Kim, 1998) is based on TSS (Koga, 1981) and the SES (Lu, 1997) algorithms",0.19835120588541033,2002,"Tighter approximate expressions for the bit error probability of M-ary square QAM have recently been developed in [8] and [9], based on signal-space concepts and recursive algorithms, respectively.",0.2435271143913269,2002,,0.0,2002,,0.0,2002,,0.0,2002,It is especially important in compressed voice and image transmissions which are extremely sensitive to bursty errors [2].,0.17719079554080963,2002,,0.0,2002,,0.0,2002,,0.0,2002,,0.0,2002
Most of the fast BMAs exploit a unimodal error surface model[6]–[18],0.09578665196895597,2001,"Approximate expressions for bit error probabilities of M-ary square QAM have recently been developed in [l], [2] based on signal-space concepts and recursive algorithms, respectively.",0.25266281962394715,2001,,0.0,2001,,0.0,2001,,0.0,2001,"In [6][18], K-state Markov models are used in which the received instantaneous signal-to-noise ratio (SNR) is partitioned into K ranges where each range of SNR corresponds to one state.",0.1884584814310074,2001,,0.0,2001,,0.0,2001,,0.0,2001,,0.0,2001
"When used on larger windows,thecomplexity-reduction factors remain quite modest[7],[8]or relevant decreases in the vector estimation efficiency have to be accepted",0.10155813694000243,2000,"Conventionally, the bit error rate (BER) computation of M-QAM has been performed by either calculating the symbol error probability first [4], [5] or simply estimating it using lower/upper bounds [4], [6].",0.20592266470193865,2000,,0.0,2000,,0.0,2000,,0.0,2000,"Lu et. al. [8] proposed a generalized finite-state Markov model to represent a correlated fading channel with selection diversity, while Zorzi et. al. [9] used a firstorder Markov process to model the success/failure of data block transmissions.",0.15186178982257842,2000,,0.0,2000,,0.0,2000,,0.0,2000,,0.0,2000
"As explained before, above algorithms [4],[5],[9],[10] must determine the second minimum and the third minimum of SAD.",0.14488278329372406,1999,,0.0,1999,,0.0,1999,,0.0,1999,,0.0,1999,,0.0,1999,,0.0,1999,,0.0,1999,,0.0,1999,,0.0,1999
"The proposed algorithms were compared with the Three-Step Search (TSS), the Parallel Hierarchical One-Dimensional Search (PHODS), the Efficient and Simple Search (ESS) and the Fast Three-Step Search (FTSS).",0.18093969523906706,1998,,0.0,1998,,0.0,1998,,0.0,1998,,0.0,1998,,0.0,1998,,0.0,1998,,0.0,1998,,0.0,1998,,0.0,1998
